"","species","sci.names","gam2.tabund","cwd2.cspace.opt","tmin2.cspace.opt","cwd2.hypv.opt","tmin2.hypv.opt","cwd2.gam.mean","tmin2.gam.mean","hypv2.pmax","cspace2.pmax","dev2.expl","cwd2.chisq","tmin2.chisq","cwd1.cspace.opt","cwd1.hypv.opt","cwd1.gam.mean","hypv1.pmax","cspace1.pmax","cwd1.dev.expl"
"1","Shrubland","Adenostoma fasciculatum",2326.35599263083,1385.443359375,6.37753295898438,1368.33666992188,5.97271680831909,NA,NA,0.684377627173896,0.606634459961661,0.219172641384171,245.673508485967,126.46580126801,NA,NA,NA,NA,NA,NA
"2","Maple","Acer macrophyllum",388.093831542469,343.313293457031,-0.475023299455643,967.460021972656,-0.0529077388346195,NA,NA,0.237301249250383,0.121031682950487,0.154127941569122,6.10784109196809,87.4766831264853,NA,NA,NA,NA,NA,NA
"3","Buckeye","Aesculus californica",99.1602419855323,343.313293457031,-0.475023299455643,532.5966796875,1.18977200984955,NA,NA,0.0448430774863546,0.0328030805901184,0.0974941929147595,2.97795867985939,12.3742125053154,NA,NA,NA,NA,NA,NA
"4","Madrone","Arbutus menziesii",2175.35255695682,732.796247385969,6.37753295898438,751.640014648438,5.3926739692688,NA,NA,0.253452536506337,0.140895876665156,0.0632427623403829,60.3958985308439,17.4294696290206,NA,NA,NA,NA,NA,NA
"5","Tanoak","Notholithocarpus densiflorus",309.906109581815,343.313293457031,6.37753295898438,558.796691894531,5.33467292785645,NA,NA,0.395669359649357,0.0672182696897897,0.316486593971214,52.1728312600272,9.64284627457293,NA,NA,NA,NA,NA,NA
"6","Doug.fir","Pseudotsuga menziesii",4241.10864113784,343.313293457031,6.37753295898438,635.676696777344,3.51395893096924,NA,NA,0.777182290408212,0.491001849913611,0.19383896817274,179.800826192783,3.53765129763457,NA,NA,NA,NA,NA,NA
"7","Coast.live.oak","Quercus agrifolia",3136.46824917852,1153.85890028212,4.43943623942558,1141.32995605469,4.01604080200195,NA,NA,0.36601890562016,0.295861327608298,0.126400779774245,263.40656270851,3.96780139109757,NA,NA,NA,NA,NA,NA
"8","Blue.oak","Quercus douglasii",444.017318070712,1027.54010441327,6.37753295898438,1020.16333007812,5.0462760925293,NA,NA,0.146660480169031,0.0352728143742256,0.204450315338355,27.0624293149484,6.65737517385306,NA,NA,NA,NA,NA,NA
"9","Oregon.oak","Quercus garryana",2772.10802007644,701.216548418758,0.978549240213452,843.243286132812,1.24987196922302,NA,NA,0.554127348400229,0.325090947881561,0.198884908867737,176.607915651532,54.4635332947983,NA,NA,NA,NA,NA,NA
"10","Black.oak","Quercus kelloggii",430.111088996949,711.743114741162,-0.475023299455643,708.796691894531,4.09504222869873,NA,NA,0.0847631977683425,0.0804583703777198,0.133559352919559,38.6577220114339,0.227999768945039,NA,NA,NA,NA,NA,NA
"11","Valley.oak","Quercus lobata",827.560233505184,1006.48697176847,2.15525081994558,1011.1533203125,1.43583905696869,NA,NA,0.190965949195529,0.0418084250404124,0.151346086119359,32.4741220533366,7.39662294158833,NA,NA,NA,NA,NA,NA
"12","Redwood","Sequoia sempervirens",165.111816955302,522.264920937895,-0.475023299455643,613.690002441406,0.154611095786095,NA,NA,0.27483485670055,0.0374092510398068,0.304200218924013,17.9775718051191,24.9319437637682,NA,NA,NA,NA,NA,NA
"13","Bay","Umbellularia californica",1171.04421467176,343.313293457031,-0.475023299455643,613.690002441406,0.154611095786095,NA,NA,0.45869444824526,0.577394258887376,0.104956920640429,37.7693968330304,134.009735008582,NA,NA,NA,NA,NA,NA
