species,cell,scenario,delta
Acer macrophyllum,12,2061-2080_rcp45_MIROC5,-0.31342169642448425
Acer macrophyllum,13,2061-2080_rcp45_MIROC5,-0.4244564473628998
Acer macrophyllum,14,2061-2080_rcp45_MIROC5,-0.40567705035209656
Acer macrophyllum,15,2061-2080_rcp45_MIROC5,-0.40560951828956604
Acer macrophyllum,16,2061-2080_rcp45_MIROC5,-0.3670528829097748
Acer macrophyllum,17,2061-2080_rcp45_MIROC5,-0.3515971601009369
Acer macrophyllum,18,2061-2080_rcp45_MIROC5,-0.328456312417984
Acer macrophyllum,19,2061-2080_rcp45_MIROC5,-0.2981492280960083
Acer macrophyllum,1,2061-2080_rcp85_CanESM2,-0.6716405898332596
Acer macrophyllum,2,2061-2080_rcp85_CanESM2,-0.7103172428905964
Acer macrophyllum,3,2061-2080_rcp85_CanESM2,-0.7147136107087135
Acer macrophyllum,4,2061-2080_rcp85_CanESM2,-0.7077148258686066
Acer macrophyllum,5,2061-2080_rcp85_CanESM2,-0.5919784605503082
Acer macrophyllum,6,2061-2080_rcp85_CanESM2,-0.5423722565174103
Acer macrophyllum,7,2061-2080_rcp85_CanESM2,-0.6118824928998947
Acer macrophyllum,8,2061-2080_rcp85_CanESM2,-0.562699606642127
Acer macrophyllum,9,2061-2080_rcp85_CanESM2,-0.5902257859706879
Acer macrophyllum,10,2061-2080_rcp85_CanESM2,-0.47721368074417114
Acer macrophyllum,11,2061-2080_rcp85_CanESM2,-0.5445071309804916
Acer macrophyllum,12,2061-2080_rcp85_CanESM2,-0.5895344540476799
Acer macrophyllum,13,2061-2080_rcp85_CanESM2,-0.7059052512049675
Acer macrophyllum,14,2061-2080_rcp85_CanESM2,-0.690479151904583
Acer macrophyllum,15,2061-2080_rcp85_CanESM2,-0.6884386911988258
Acer macrophyllum,16,2061-2080_rcp85_CanESM2,-0.6588780581951141
Acer macrophyllum,17,2061-2080_rcp85_CanESM2,-0.6243358105421066
Acer macrophyllum,18,2061-2080_rcp85_CanESM2,-0.6124211698770523
Acer macrophyllum,19,2061-2080_rcp85_CanESM2,-0.5686571002006531
Acer macrophyllum,1,2061-2080_rcp85_CNRM-CM5,-0.6892964290454984
Acer macrophyllum,2,2061-2080_rcp85_CNRM-CM5,-0.7477648220956326
Acer macrophyllum,3,2061-2080_rcp85_CNRM-CM5,-0.7496217899024487
Acer macrophyllum,4,2061-2080_rcp85_CNRM-CM5,-0.7663480155169964
Acer macrophyllum,5,2061-2080_rcp85_CNRM-CM5,-0.7360307574272156
Acer macrophyllum,6,2061-2080_rcp85_CNRM-CM5,-0.7041399925947189
Acer macrophyllum,7,2061-2080_rcp85_CNRM-CM5,-0.673491831868887
Acer macrophyllum,8,2061-2080_rcp85_CNRM-CM5,-0.5707679074257612
Acer macrophyllum,9,2061-2080_rcp85_CNRM-CM5,-0.7191682234406471
Acer macrophyllum,10,2061-2080_rcp85_CNRM-CM5,-0.6567573845386505
Acer macrophyllum,11,2061-2080_rcp85_CNRM-CM5,-0.6658120527863503
Acer macrophyllum,12,2061-2080_rcp85_CNRM-CM5,-0.625186126679182
Acer macrophyllum,13,2061-2080_rcp85_CNRM-CM5,-0.7475376278162003
Acer macrophyllum,14,2061-2080_rcp85_CNRM-CM5,-0.7446213066577911
Acer macrophyllum,15,2061-2080_rcp85_CNRM-CM5,-0.7465208508074284
Acer macrophyllum,16,2061-2080_rcp85_CNRM-CM5,-0.7299162298440933
Acer macrophyllum,17,2061-2080_rcp85_CNRM-CM5,-0.7106712162494659
Acer macrophyllum,18,2061-2080_rcp85_CNRM-CM5,-0.679293617606163
Acer macrophyllum,19,2061-2080_rcp85_CNRM-CM5,-0.6412696167826653
Acer macrophyllum,1,2061-2080_rcp85_HadGEM2-ES,-0.6891158623620868
Acer macrophyllum,2,2061-2080_rcp85_HadGEM2-ES,-0.7412728201597929
Acer macrophyllum,3,2061-2080_rcp85_HadGEM2-ES,-0.7412686981260777
Acer macrophyllum,4,2061-2080_rcp85_HadGEM2-ES,-0.7515097036957741
Acer macrophyllum,5,2061-2080_rcp85_HadGEM2-ES,-0.705088347196579
Acer macrophyllum,6,2061-2080_rcp85_HadGEM2-ES,-0.6731433868408203
Acer macrophyllum,7,2061-2080_rcp85_HadGEM2-ES,-0.6763834953308105
Acer macrophyllum,8,2061-2080_rcp85_HadGEM2-ES,-0.5771543262526393
Acer macrophyllum,9,2061-2080_rcp85_HadGEM2-ES,-0.6822379678487778
Acer macrophyllum,10,2061-2080_rcp85_HadGEM2-ES,-0.6060915291309357
Acer macrophyllum,11,2061-2080_rcp85_HadGEM2-ES,-0.6584538817405701
Acer macrophyllum,12,2061-2080_rcp85_HadGEM2-ES,-0.639009639620781
Acer macrophyllum,13,2061-2080_rcp85_HadGEM2-ES,-0.7372892685234547
Acer macrophyllum,14,2061-2080_rcp85_HadGEM2-ES,-0.7314431630074978
Acer macrophyllum,15,2061-2080_rcp85_HadGEM2-ES,-0.7361128628253937
Acer macrophyllum,16,2061-2080_rcp85_HadGEM2-ES,-0.7160761579871178
Acer macrophyllum,17,2061-2080_rcp85_HadGEM2-ES,-0.7036792412400246
Acer macrophyllum,18,2061-2080_rcp85_HadGEM2-ES,-0.6776309907436371
Acer macrophyllum,19,2061-2080_rcp85_HadGEM2-ES,-0.6556039080023766
Acer macrophyllum,1,2061-2080_rcp85_MIROC5,-0.6588875353336334
Acer macrophyllum,2,2061-2080_rcp85_MIROC5,-0.691353552043438
Acer macrophyllum,3,2061-2080_rcp85_MIROC5,-0.6845444589853287
Acer macrophyllum,4,2061-2080_rcp85_MIROC5,-0.6719054132699966
Acer macrophyllum,5,2061-2080_rcp85_MIROC5,-0.5999505668878555
Acer macrophyllum,6,2061-2080_rcp85_MIROC5,-0.5444914400577545
Acer macrophyllum,7,2061-2080_rcp85_MIROC5,-0.577581137418747
Acer macrophyllum,8,2061-2080_rcp85_MIROC5,-0.5249877646565437
Acer macrophyllum,9,2061-2080_rcp85_MIROC5,-0.5719234645366669
Acer macrophyllum,10,2061-2080_rcp85_MIROC5,-0.4956072270870209
Acer macrophyllum,11,2061-2080_rcp85_MIROC5,-0.5331250727176666
Acer macrophyllum,12,2061-2080_rcp85_MIROC5,-0.5346241295337677
Acer macrophyllum,13,2061-2080_rcp85_MIROC5,-0.6680547073483467
