"","species","sci.names","gam.tabund","cwd.opt","tmin.opt","cwd.gam.mean","tmin.gam.mean","hypv.pmax","cspace.pmax","dev.expl","cwd.chisq","tmin.chisq"
"1","Shrubland","Adenostoma fasciculatum",45813.8826603866,1385.443359375,6.37753295898438,983.245484381491,4.35193033545957,0.734148637839002,0.784769853565037,0.152042891538938,14816.3412512663,5727.86280373374
"2","Maple","Acer macrophyllum",7076.8834225281,585.424318872317,-0.475023299455643,872.108575718084,2.77336468375515,0.141043001158428,0.154433911904788,0.105720093550267,696.957125004607,3462.25147965152
"3","Buckeye","Aesculus californica",1961.63028640375,701.216548418758,-0.475023299455643,883.274547787652,3.090545754265,0.0177433419065045,0.0181684139584128,0.0484034501780627,78.7779753073274,495.873554962678
"4","Madrone","Arbutus menziesii",42089.7175062053,343.313293457031,6.37753295898438,866.333417111176,4.04084991059373,0.194770547963958,0.222493281633085,0.0392726904144939,3393.84788172903,329.341600472306
"5","Tanoak","Notholithocarpus densiflorus",5779.40246876774,343.313293457031,4.99317815929952,807.138555388542,4.33886344422961,0.213641458883659,0.221347181998932,0.101553671982898,2292.33294870062,480.348452910082
"6","Doug.fir","Pseudotsuga menziesii",82556.5909212074,343.313293457031,5.27004911923649,862.806551734637,4.02988246560754,0.710622601739173,0.710669070864521,0.047340047893982,8705.02660766423,789.412505354898
"7","Coast.live.oak","Quercus agrifolia",62124.6451738136,1132.80576763731,5.40848459920498,955.818259740728,3.8933217928487,0.307335214820906,0.307273773303681,0.0939544356325295,11301.3543637962,199.249475353379
"8","Blue.oak","Quercus douglasii",8710.9285943285,1038.06667073568,6.37753295898438,945.411658030765,3.95121377480657,0.0496056567232721,0.0515170209272772,0.0526662908986897,1592.0057533132,161.372412620768
"9","Oregon.oak","Quercus garryana",53482.1076188933,711.743114741162,0.494025060323754,867.757966900181,3.6202882012892,0.266552281092413,0.266546791812627,0.0528826483026089,5255.75188369199,2319.02477886438
"10","Black.oak","Quercus kelloggii",8827.61944411797,690.689982096354,5.40848459920498,844.400238031876,4.02050834804578,0.0475484524674676,0.0474981588144461,0.0520672965509194,1504.41138674083,133.368749017352
"11","Valley.oak","Quercus lobata",16352.1244320605,974.907272801255,2.15525081994558,929.659641420571,3.52262662944114,0.0759652548512636,0.0759309016580125,0.0537058791261594,1374.13890865874,869.417196865328
"12","Redwood","Sequoia sempervirens",3137.19433275141,343.313293457031,-0.475023299455643,806.265540497476,3.89341888350466,0.0813202646342472,0.178172874008897,0.0764232349729682,1266.62826541111,267.717656017112
"13","Bay","Umbellularia californica",21839.2041465199,553.844619905106,-0.475023299455643,889.509358093127,3.30959285235054,0.30934218439686,0.322069167368906,0.0434946977137478,1213.40784520135,3564.53884220814
